14,Sam Hunt,5,9,441,2015
15,Adam Lambert,20,6,647,2015
16,Madcon & Ray Dalton,19,3,583,2015
17,Avicii,4,17,159,2015
18,Anouk,3,16,145,2015
19,Naughty Boy featuring Beyoncé and Arrow Benjamin,1,14,275,2015
20,Alvaro Soler,12,12,320,2015
21,One Direction,9,15,217,2015
22,Mr Polska & Ronnie Flex,1,3,390,2015
23,Sam Feldt,11,19,230,2015
24,Avicii,19,6,519,2015
25,Robin Schulz (feat. Francesco Yates),2,4,419,2015
26,Major Lazer x DJ Snake feat. Mø,30,1,1076,2015
27,Disclosure ft. Sam Smith,9,27,75,2015
28,Silentó,10,17,160,2015
29,Jack Ü with Justin Bieber,25,11,549,2015
30,James Morrison,2,29,41,2015
31,Omi,1,24,103,2015
32,Kygo feat. Parson James,28,3,836,2015
33,Years & Years,6,22,168,2015
34,Dyna & Firstman & Lil Kleine & Bollebof,1,19,116,2015
35,James Bay,21,18,406,2015
36,Thomas Jack,7,24,84,2015
37,Sam Smith,1,35,18,2015
38,Nico & Vinz feat. Kid Ink & Bebe Rexha,10,29,77,2015
39,Dotan,3,31,43,2015
40,Oliver Heldens & Shaun Frank (ft. Delaney Jane),5,30,41,2015
1,Justin Bieber,5,1,639,2015
2,Calvin Harris + Disciples,10,1,716,2015
3,Lost Frequencies feat. Janieck Devy,12,3,730,2015
4,R.City feat. Adam Levine,11,4,568,2015
5,The Weeknd,15,2,719,2015
6,Sigala,4,2,548,2015
7,Felix Jaehn feat. Jasmine Thompson,20,1,872,2015
8,Axwell & Ingrosso,9,6,452,2015
9,Shaggy feat. Mohombi, Faydee, Costi,6,8,460,2015
10,Nicky Jam & Enrique Iglesias,17,1,693,2015
11,Zara Larsson,5,3,560,2015
12,Adam Lambert,19,6,647,2015
13,Kygo feat. Ella Henderson,3,11,286,2015
14,Sam Hunt,4,9,441,2015
15,Madcon & Ray Dalton,18,3,583,2015
16,Anouk,2,16,145,2015
17,Avicii,3,17,159,2015
18,Alvaro Soler,11,12,320,2015
19,Ellie Goulding,1,8,366,2015
20,Major Lazer x DJ Snake feat. Mø,29,1,1076,2015
21,One Direction,8,15,217,2015
22,Sam Feldt,10,19,230,2015
